Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory
800,0,0,0,0,44.2,0,5.2,0,16.3,3.1,0,4.2
805,0,0,0,0,44.1,0,5.4,0,16.4,3.1,0,4.3
810,0,0,0,0,44,0,5.6,0,16.5,3.1,0,4.3
815,0,0,0,0,43.9,0,5.7,0,16.6,3.1,0,4.3
820,0,0,0,0,43.7,0,6,0,16.8,3.1,0,4.3
825,0,0,0,0,43.4,0,6.4,0,16.8,0,0,4.4
830,0,0,0,0,43.1,0,6.9,0,16.7,0,0,4.4
835,0,0,0,0,42.9,0,7.5,0,16.6,0,0,4.4
840,0,0,0,0,42.6,0,8,0,16.5,0,0,4.4
845,0,0,0,0,42.4,0,8.5,0,16.4,0,0,4.4
850,0,0,0,0,42.4,0,8.8,0,16.3,0,0,4.4
855,0,0,0,0,42.4,0,9,0,16.2,0,0,4.5
860,0,0,0,0,42.4,0,9.2,0,16.1,0,0,4.5
865,0,0,0,0,42.4,0,9.5,0,16,0,0,4.5
870,0,0,0,0,42.5,0,9.7,0,15.9,0,0,4.5
875,0,0,0,0,42.5,0,9.9,0,15.8,0,0,4.6
880,0,0,0,0,42.5,0,10.1,0,15.7,0,0,4.6
885,0,0,0,0,42.5,0,10.3,0,15.6,0,0,4.7
890,0,0,0,0,42.5,0,10.5,0,15.6,3.6,0,4.7
895,0,0,0,0,42.4,0,10.6,0,15.7,3.6,0,4.7
900,0,0,0,0,42.4,0,10.7,0,15.8,3.6,0,4.7
